freq_Hz,Re,Im
7.9086887450e+09,-2.6233504333e+02,-6.0315326454e+01
8.0087987291e+09,2.6107899883e+02,6.6145173711e+01
8.1089087132e+09,-2.5773921397e+02,-6.7859506150e+01
8.2090186973e+09,2.5332774430e+02,6.7431939386e+01
8.3091286814e+09,-2.5196664683e+02,-7.0594102593e+01
8.4092386655e+09,2.5065892889e+02,7.3333253959e+01
8.5093486496e+09,-2.4783855558e+02,-7.3176712147e+01
8.6094586338e+09,2.4688304792e+02,7.4444944744e+01
8.7095686179e+09,-2.4619771678e+02,-7.6552252139e+01
8.8096786020e+09,2.4303605617e+02,7.8682561144e+01
8.9097885861e+09,-2.3805073170e+02,-8.0733881556e+01
9.0098985702e+09,2.3378848894e+02,8.0709985782e+01
9.1100085543e+09,-2.3027686326e+02,-7.9254411495e+01
9.2101185384e+09,2.2635911939e+02,7.6675257248e+01
9.3102285225e+09,-2.2305796028e+02,-8.0854714414e+01
9.4103385067e+09,2.2022292847e+02,8.7692600593e+01
9.5104484908e+09,-2.1474869417e+02,-9.0775453132e+01
9.6105584749e+09,2.1182590895e+02,9.2794925264e+01
9.7106684590e+09,-2.1180904491e+02,-9.3990945953e+01
9.8107784431e+09,2.1029410682e+02,9.7168479007e+01
9.9108884272e+09,-2.1070710279e+02,-9.9556999390e+01
1.0010998411e+10,2.1299018825e+02,1.0294720890e+02
1.0111108395e+10,-2.1271239146e+02,-1.0535875338e+02
1.0211218380e+10,2.1101953595e+02,1.0414687230e+02
1.0311328364e+10,-2.1140758343e+02,-1.0216631234e+02
1.0411438348e+10,2.0835803804e+02,1.0123526818e+02
1.0511548332e+10,-2.0368815623e+02,-1.0440622576e+02
1.0611658316e+10,2.0319406709e+02,1.0574096884e+02
1.0711768300e+10,-2.0488882404e+02,-1.0532633892e+02
1.0811878284e+10,2.0375217807e+02,1.0607572232e+02
1.0911988268e+10,-1.9809972977e+02,-1.0503896058e+02
1.1012098252e+10,1.9427079796e+02,1.0201529140e+02
1.1112208237e+10,-1.9163229966e+02,-1.0140794915e+02
1.1212318221e+10,1.8942667843e+02,1.0632025152e+02
1.1312428205e+10,-1.9017977969e+02,-1.1003345831e+02
1.1412538189e+10,1.9037957985e+02,1.1028902792e+02
1.1512648173e+10,-1.8707053361e+02,-1.1266621523e+02
1.1612758157e+10,1.8664064926e+02,1.1392094270e+02
1.1712868141e+10,-1.8985033148e+02,-1.1066251617e+02
1.1812978125e+10,1.8957821970e+02,1.0889751256e+02
1.1913088109e+10,-1.8791715712e+02,-1.1020575479e+02
1.2013198094e+10,1.8736748339e+02,1.1150771835e+02
1.2113308078e+10,-1.8633340521e+02,-1.1144810362e+02
1.2213418062e+10,1.8366144836e+02,1.1142884687e+02
1.2313528046e+10,-1.8060821549e+02,-1.1157102770e+02
1.2413638030e+10,1.7830367525e+02,1.1071637034e+02
1.2513748014e+10,-1.7774673996e+02,-1.0916931707e+02
1.2613857998e+10,1.7979645100e+02,1.0910808511e+02
1.2713967982e+10,-1.7762820078e+02,-1.1016364856e+02
1.2814077967e+10,1.7131496337e+02,1.0577640110e+02
1.2914187951e+10,-1.6872619123e+02,-1.0290581562e+02
1.3014297935e+10,1.6870164678e+02,1.0475943667e+02
1.3114407919e+10,-1.6797005478e+02,-1.0390130651e+02
1.3214517903e+10,1.6646541227e+02,1.0489403256e+02
1.3314627887e+10,-1.6600913340e+02,-1.0729684370e+02
1.3414737871e+10,1.6609103415e+02,1.0741679572e+02
1.3514847855e+10,-1.6543820998e+02,-1.0571445336e+02
1.3614957839e+10,1.6579101647e+02,1.0421588445e+02
1.3715067824e+10,-1.6774796706e+02,-1.0479513328e+02
1.3815177808e+10,1.7013078555e+02,1.0372503694e+02
1.3915287792e+10,-1.7179054348e+02,-1.0380575226e+02
1.4015397776e+10,1.6798166126e+02,1.0497832696e+02
1.4115507760e+10,-1.6613619720e+02,-1.0166774789e+02
1.4215617744e+10,1.6843804170e+02,9.4813309733e+01
1.4315727728e+10,-1.6447959547e+02,-9.1066113289e+01
1.4415837712e+10,1.6118898290e+02,9.1351260321e+01
1.4515947696e+10,-1.6066253427e+02,-9.0193323935e+01
1.4616057681e+10,1.5850408629e+02,9.1765809895e+01
1.4716167665e+10,-1.5609385048e+02,-9.5404990070e+01
1.4816277649e+10,1.5725976058e+02,9.5279499423e+01
1.4916387633e+10,-1.5980128061e+02,-9.2116908290e+01
1.5016497617e+10,1.5819870427e+02,8.8597147318e+01
1.5116607601e+10,-1.5912104207e+02,-8.5840043555e+01
