Time(us),Amplitude
1.599121093750000065e-04,-2.125085555555555620e+05
1.611328125000000076e-04,-2.125134444444444380e+05
1.623535156250000087e-04,-2.126136666666666570e+05
1.635742187500000098e-04,-2.124797777777777810e+05
1.647949218750000108e-04,-2.126340000000000000e+05
1.660156250000000119e-04,-2.125100000000000000e+05
1.672363281250000130e-04,-2.126442222222222190e+05
1.684570312500000141e-04,-2.127321111111111240e+05
1.696777343750000152e-04,-2.129191111111111240e+05
1.708984374999999892e-04,-2.126484444444444380e+05
1.721191406250000173e-04,-2.125560000000000000e+05
1.733398437499999913e-04,-2.125877777777777810e+05
1.745605468750000195e-04,-2.126822222222222190e+05
1.757812499999999935e-04,-2.125601111111111240e+05
1.770019531250000217e-04,-2.126726666666666570e+05
1.782226562499999957e-04,-2.124153333333333430e+05
1.794433593750000239e-04,-2.124515555555555620e+05
1.806640624999999978e-04,-2.127015555555555620e+05
1.818847656250000260e-04,-2.128027777777777810e+05
1.831054687500000000e-04,-2.127644444444444380e+05
1.843261718750000011e-04,-2.126308888888888760e+05
1.855468750000000022e-04,-2.124303333333333430e+05
1.867675781250000033e-04,-2.123182222222222190e+05
1.879882812500000043e-04,-2.128025555555555620e+05
1.892089843750000054e-04,-2.125804444444444380e+05
1.904296875000000065e-04,-2.126317777777777810e+05
1.916503906250000076e-04,-2.124123333333333430e+05
1.928710937500000087e-04,-2.126243333333333430e+05
1.940917968750000098e-04,-2.126023333333333430e+05
1.953124999999999837e-04,-2.124243333333333430e+05
1.965332031250000119e-04,-2.127940000000000000e+05
1.977539062499999859e-04,-2.125053333333333430e+05
1.989746093750000141e-04,-2.129640000000000000e+05
2.001953124999999881e-04,-2.124975555555555620e+05
2.014160156250000163e-04,-2.128363333333333430e+05
2.026367187499999902e-04,-2.125817777777777810e+05
2.038574218750000184e-04,-2.126095555555555620e+05
2.050781249999999924e-04,-2.129283333333333430e+05
2.062988281250000206e-04,-2.123231111111111240e+05
2.075195312499999946e-04,-2.120152222222222190e+05
2.087402343749999957e-04,-2.125183333333333430e+05
2.099609374999999967e-04,-2.124622222222222190e+05
2.111816406249999978e-04,-2.122240000000000000e+05
2.124023437499999989e-04,-2.127302222222222190e+05
2.136230468750000000e-04,-2.130158888888888760e+05
2.148437500000000011e-04,-2.124594444444444380e+05
2.160644531250000022e-04,-2.126784444444444380e+05
2.172851562500000033e-04,-2.125094444444444380e+05
2.185058593750000043e-04,-2.127260000000000000e+05
2.197265625000000054e-04,-2.126565555555555620e+05
2.209472656250000065e-04,-2.127940000000000000e+05
2.221679687499999805e-04,-2.126255555555555620e+05
2.233886718750000087e-04,-2.124976666666666570e+05
2.246093749999999827e-04,-2.128473333333333430e+05
2.258300781250000108e-04,-2.127433333333333430e+05
2.270507812499999848e-04,-2.125566666666666570e+05
2.282714843750000130e-04,-2.127021111111111240e+05
2.294921874999999870e-04,-2.123520000000000000e+05
2.307128906250000152e-04,-2.124806666666666570e+05
2.319335937499999892e-04,-2.127500000000000000e+05
