Time(us),Differential_Amplitude
3.308105468749999957e-04,4.203333333333333144e+02
3.320312500000000239e-04,-1.410000000000000000e+02
3.332519531249999978e-04,-1.584444444444444571e+02
3.344726562500000260e-04,2.884444444444444571e+02
3.356933593750000000e-04,-1.515555555555555429e+02
3.369140625000000282e-04,3.491111111111110858e+02
3.381347656250000022e-04,1.933333333333333215e+01
3.393554687500000304e-04,3.105555555555555429e+02
3.405761718750000043e-04,-1.987777777777777715e+02
3.417968749999999783e-04,-4.484444444444444571e+02
3.430175781250000065e-04,-1.644444444444444571e+02
3.442382812500000347e-04,-3.078888888888889142e+02
3.454589843750000087e-04,-1.801111111111111143e+02
3.466796874999999827e-04,2.083333333333333428e+02
3.479003906250000108e-04,-4.422222222222222143e+01
3.491210937500000390e-04,-3.533333333333333144e+02
3.503417968750000130e-04,2.000000000000000000e+02
3.515624999999999870e-04,-2.744444444444444571e+02
3.527832031249999610e-04,-9.777777777777778567e+00
3.540039062500000434e-04,6.351111111111110858e+02
3.552246093750000173e-04,-7.222222222222222321e+00
3.564453124999999913e-04,-1.144444444444444464e+01
3.576660156249999653e-04,2.724444444444444571e+02
3.588867187500000477e-04,-2.307777777777777715e+02
3.601074218750000217e-04,-3.355555555555555713e+01
3.613281249999999957e-04,2.477777777777777857e+01
3.625488281249999696e-04,-1.577777777777777715e+02
3.637695312500000520e-04,1.865555555555555429e+02
3.649902343750000260e-04,-4.312222222222222285e+02
3.662109375000000000e-04,-5.800000000000000000e+02
3.674316406249999740e-04,1.193333333333333286e+02
3.686523437500000022e-04,1.407777777777777715e+02
3.698730468750000304e-04,4.348888888888889142e+02
3.710937500000000043e-04,-2.384444444444444571e+02
3.723144531249999783e-04,-1.401111111111111143e+02
3.735351562500000065e-04,3.220000000000000000e+02
3.747558593750000347e-04,1.674444444444444571e+02
3.759765625000000087e-04,2.348888888888888857e+02
3.771972656249999827e-04,3.853333333333333144e+02
3.784179687500000108e-04,5.232222222222221717e+02
3.796386718749999848e-04,-1.825555555555555429e+02
3.808593750000000130e-04,1.442222222222222285e+02
3.820800781249999870e-04,-8.796666666666666288e+02
3.833007812500000152e-04,-6.322222222222222143e+01
3.845214843749999892e-04,1.242222222222222285e+02
3.857421875000000173e-04,-3.947777777777777715e+02
3.869628906249999913e-04,-3.741111111111110858e+02
3.881835937500000195e-04,-2.846666666666666856e+02
3.894042968749999935e-04,3.523333333333333144e+02
3.906249999999999675e-04,-1.855555555555555713e+01
3.918457031249999957e-04,4.133333333333333570e+01
3.930664062500000239e-04,-1.678888888888888857e+02
3.942871093749999978e-04,5.425555555555555429e+02
3.955078124999999718e-04,2.770000000000000000e+02
3.967285156250000542e-04,2.844444444444444287e+01
3.979492187500000282e-04,-5.333333333333333570e+01
3.991699218750000022e-04,-8.233333333333332860e+01
4.003906249999999761e-04,-4.106666666666666856e+02
4.016113281250000585e-04,-2.524444444444444571e+02
4.028320312500000325e-04,-1.302222222222222285e+02
4.040527343750000065e-04,2.146666666666666572e+02
4.052734374999999805e-04,-1.336666666666666572e+02
4.064941406250000087e-04,9.055555555555555713e+01
4.077148437500000369e-04,2.485555555555555429e+02
4.089355468750000108e-04,-5.755555555555555713e+01
4.101562499999999848e-04,1.474444444444444571e+02
4.113769531250000130e-04,4.850000000000000000e+02
4.125976562500000412e-04,2.480000000000000000e+02
4.138183593750000152e-04,1.587777777777777715e+02
4.150390624999999892e-04,-3.586666666666666856e+02
4.162597656250000173e-04,-1.244444444444444464e+01
4.174804687499999913e-04,6.373333333333333712e+02
4.187011718750000195e-04,7.777777777777777901e-01
4.199218749999999935e-04,-4.520000000000000000e+02
4.211425781250000217e-04,4.681111111111110858e+02
4.223632812499999957e-04,7.944444444444444287e+01
4.235839843750000239e-04,4.077777777777777857e+01
4.248046874999999978e-04,2.715555555555555429e+02
4.260253906250000260e-04,1.844444444444444287e+01
4.272460937500000000e-04,4.814444444444444571e+02
4.284667968750000282e-04,-4.114444444444444571e+02
4.296875000000000022e-04,-8.073333333333333712e+02
4.309082031250000304e-04,-1.255555555555555571e+02
4.321289062500000043e-04,7.478888888888889142e+02
4.333496093749999783e-04,-4.530000000000000000e+02
4.345703125000000065e-04,-4.028888888888889142e+02
4.357910156250000347e-04,-8.422222222222222854e+01
4.370117187500000087e-04,-4.043333333333333144e+02
4.382324218749999827e-04,-1.030000000000000000e+02
4.394531250000000108e-04,-2.057777777777777715e+02
4.406738281250000390e-04,2.650000000000000000e+02
4.418945312500000130e-04,-7.722222222222222854e+01
4.431152343749999870e-04,-1.387777777777777715e+02
4.443359374999999610e-04,-7.255555555555555429e+02
4.455566406250000434e-04,3.571111111111110858e+02
4.467773437500000173e-04,1.733333333333333428e+02
4.479980468749999913e-04,-3.125555555555555429e+02
4.492187499999999653e-04,3.521111111111110858e+02
4.504394531250000477e-04,7.533333333333332860e+01
4.516601562500000217e-04,-7.057777777777778283e+02
4.528808593749999957e-04,-1.163333333333333286e+02
4.541015624999999696e-04,-7.500000000000000000e+01
4.553222656250000520e-04,1.471111111111111143e+02
4.565429687500000260e-04,4.388888888888888573e+01
4.577636718750000000e-04,-4.806666666666666856e+02
4.589843749999999740e-04,1.681111111111111143e+02
4.602050781250000022e-04,-1.638888888888888857e+02
4.614257812500000304e-04,-1.670000000000000000e+02
4.626464843750000043e-04,-1.423333333333333428e+02
4.638671874999999783e-04,1.127333333333333258e+03
4.650878906250000065e-04,6.112222222222221717e+02
4.663085937499999805e-04,6.766666666666667140e+01
4.675292968749999545e-04,-4.537777777777777715e+02
4.687500000000000369e-04,7.496666666666666288e+02
4.699707031250000651e-04,1.504444444444444571e+02
4.711914062500000390e-04,1.921111111111111143e+02
4.724121093750000130e-04,2.196666666666666572e+02
4.736328125000000412e-04,6.370000000000000000e+02
4.748535156250000152e-04,5.178888888888889142e+02
4.760742187499999892e-04,-4.297777777777777715e+02
4.772949218749999631e-04,-7.015555555555555429e+02
4.785156249999999913e-04,1.666666666666666572e+02
4.797363281250000737e-04,5.241111111111110858e+02
4.809570312500000477e-04,-5.635555555555555429e+02
4.821777343750000217e-04,2.111111111111111072e+01
4.833984375000000499e-04,-3.280000000000000000e+02
4.846191406250000239e-04,-1.634444444444444571e+02
4.858398437499999978e-04,-1.688888888888888857e+02
4.870605468749999718e-04,-1.892222222222222285e+02
4.882812500000000000e-04,-1.370000000000000000e+02
4.895019531249999740e-04,1.778888888888888857e+02
4.907226562500000564e-04,-1.688888888888888928e+01
4.919433593750000304e-04,-4.063333333333333144e+02
4.931640625000000043e-04,1.104444444444444429e+02
4.943847656249999783e-04,-3.887777777777777715e+02
