freq_Hz,Re,Im
7.9096553410e+09,-5.8482803782e-01,1.4113935817e+00
8.0097775605e+09,1.2689574855e+00,-1.3083258368e+00
8.1098997800e+09,7.3027006454e-01,1.0245519522e-01
8.2100219995e+09,-1.7016286461e+00,-3.9263415209e-01
8.3101442190e+09,1.6334331660e-01,1.0653075285e+00
8.4102664385e+09,-3.4898659142e-02,-1.3064940232e+00
8.5103886580e+09,1.4257097743e+00,7.0213344528e-01
8.6105108775e+09,-5.5664160815e-01,1.3247609601e-01
8.7106330970e+09,-1.8123891797e-01,5.4551582123e-01
8.8107553165e+09,-4.3547985302e-01,-1.2010896771e+00
8.9108775361e+09,5.9065954135e-01,5.5564598897e-01
9.0109997556e+09,8.5518149214e-01,-2.7508236726e-01
9.1111219751e+09,-2.1222165477e+00,8.4555543873e-01
9.2112441946e+09,1.5689818122e+00,-6.2003896574e-01
9.3113664141e+09,-6.4993226174e-01,5.8604239883e-01
9.4114886336e+09,-1.0214006383e+00,-1.3034606090e+00
9.5116108531e+09,1.8549686424e+00,1.0263396105e+00
9.6117330726e+09,-1.3160917226e+00,-8.3299694670e-03
9.7118552921e+09,1.1622021207e+00,1.9624730752e-01
9.8119775116e+09,-1.4531936403e+00,-4.6305385646e-01
9.9120997311e+09,2.7533487532e+00,-4.7607688239e-01
1.0012221951e+10,-1.0845933322e+00,5.4882599755e-01
1.0112344170e+10,-3.0595292303e+00,-3.4651304662e-01
1.0212466390e+10,3.0245963405e+00,4.3255268539e-01
1.0312588609e+10,-1.3188014211e+00,5.8926296811e-01
1.0412710829e+10,9.6997189133e-01,-1.2656417379e+00
1.0512833048e+10,1.2813289824e-01,6.0303035031e-01
1.0612955268e+10,8.2856187039e-01,7.3943853434e-01
1.0713077487e+10,-2.9311644632e+00,-2.6411457529e+00
1.0813199707e+10,-5.9078774570e-02,3.7040567970e+00
1.0913321926e+10,4.2862677986e+00,-2.3874394276e+00
1.1013444146e+10,-3.3907097465e+00,3.4775543582e-01
