Time(us),Differential_Amplitude
2.038574218750000184e-04,-7.337000000000000455e+02
2.050781249999999924e-04,1.868000000000000114e+02
2.062988281250000206e-04,-4.520000000000000000e+02
2.075195312499999946e-04,-1.800000000000000000e+01
2.087402343749999957e-04,-1.092000000000000028e+02
2.099609374999999967e-04,8.326000000000000227e+02
2.111816406249999978e-04,4.173999999999999773e+02
2.124023437499999989e-04,-1.709000000000000057e+02
2.136230468750000000e-04,-4.873999999999999773e+02
2.148437500000000011e-04,3.586999999999999886e+02
2.160644531250000022e-04,-3.483999999999999773e+02
2.172851562500000033e-04,-1.289000000000000057e+02
2.185058593750000043e-04,4.743000000000000114e+02
2.197265625000000054e-04,2.986000000000000227e+02
2.209472656250000065e-04,7.659999999999999432e+01
2.221679687499999805e-04,-8.922000000000000455e+02
2.233886718750000087e-04,2.990000000000000000e+02
2.246093749999999827e-04,-1.973000000000000114e+02
2.258300781250000108e-04,1.188599999999999909e+03
2.270507812499999848e-04,-7.117999999999999545e+02
2.282714843750000130e-04,5.662999999999999545e+02
2.294921874999999870e-04,2.076999999999999886e+02
2.307128906250000152e-04,-3.526000000000000227e+02
2.319335937499999892e-04,-4.470000000000000284e+01
2.331542968749999902e-04,9.000000000000000000e+00
2.343750000000000184e-04,3.781999999999999886e+02
2.355957031250000195e-04,-4.121999999999999886e+02
2.368164062500000206e-04,6.811000000000000227e+02
2.380371093749999946e-04,-4.108000000000000114e+02
2.392578124999999957e-04,4.563000000000000114e+02
2.404785156250000239e-04,-6.670000000000000284e+01
2.416992187500000249e-04,4.008999999999999773e+02
2.429199218749999989e-04,3.428000000000000114e+02
2.441406250000000000e-04,-7.827999999999999545e+02
2.453613281250000282e-04,-1.554000000000000057e+02
2.465820312500000022e-04,-2.936999999999999886e+02
2.478027343750000304e-04,1.900000000000000000e+02
2.490234375000000043e-04,-3.763000000000000114e+02
2.502441406249999783e-04,-2.059000000000000057e+02
2.514648437500000065e-04,-2.305000000000000000e+02
2.526855468750000347e-04,2.971999999999999886e+02
2.539062500000000087e-04,1.319999999999999929e+01
2.551269531249999827e-04,-1.699000000000000057e+02
2.563476562500000108e-04,4.428999999999999773e+02
2.575683593750000390e-04,-6.583999999999999773e+02
2.587890625000000130e-04,5.162999999999999545e+02
2.600097656249999870e-04,-4.885000000000000000e+02
2.612304687499999610e-04,-7.990000000000000568e+01
2.624511718750000434e-04,-2.173000000000000114e+02
2.636718750000000173e-04,6.768999999999999773e+02
2.648925781249999913e-04,-1.209000000000000057e+02
2.661132812499999653e-04,-8.028999999999999773e+02
2.673339843750000477e-04,-2.110000000000000000e+02
2.685546875000000217e-04,9.050000000000000000e+02
2.697753906249999957e-04,1.025000000000000000e+02
2.709960937499999696e-04,2.136999999999999886e+02
2.722167968750000520e-04,1.845000000000000000e+02
2.734375000000000260e-04,1.404000000000000057e+02
2.746582031250000000e-04,7.152999999999999545e+02
2.758789062499999740e-04,-7.416000000000000227e+02
2.770996093750000022e-04,-6.996000000000000227e+02
2.783203125000000304e-04,2.848000000000000114e+02
