freq_Hz,Re,Im
3.4642287949e+10,-3.3609799581e+00,-6.2415204875e-01
3.4742410169e+10,-6.1844487866e+00,-1.9116486787e+00
3.4842532388e+10,9.8971884374e+00,1.2347500494e+00
3.4942654608e+10,9.8132664632e-01,-8.5019186736e-01
3.5042776827e+10,-2.6594104024e+00,4.2362495969e+00
3.5142899047e+10,-5.0025736841e+00,-1.2495003599e+01
3.5243021266e+10,3.6095291660e+00,1.4945342010e+01
3.5343143486e+10,2.9113999778e+00,-4.7948007083e+00
3.5443265705e+10,-2.9384842016e+00,-5.2424405461e+00
3.5543387925e+10,5.3464431083e+00,5.2630882580e+00
3.5643510144e+10,-1.2915877139e+01,-3.0418600099e+00
3.5743632364e+10,1.3470709121e+01,-1.1055841450e+00
3.5843754583e+10,-3.3933355630e+00,-1.2643097154e-01
3.5943876803e+10,-8.0622157692e+00,2.1035745423e+00
3.6043999022e+10,4.8696042776e+00,1.2928822574e+00
3.6144121242e+10,-5.2561655038e+00,1.2091384780e+00
3.6244243461e+10,1.2409568128e+01,2.0714747402e+00
3.6344365681e+10,1.9133951524e+00,-7.1422130628e+00
3.6444487900e+10,-1.6750206340e+01,7.5694134734e-02
3.6544610120e+10,1.4547015238e+01,7.0168006966e+00
3.6644732339e+10,-1.0140395289e+01,-7.3314457411e+00
3.6744854559e+10,6.1755892510e+00,7.6519791710e+00
3.6844976778e+10,-3.2457614999e+00,-1.5180625240e+01
3.6945098998e+10,-4.5272719950e+00,1.9697096710e+01
3.7045221217e+10,1.5058769236e+01,-1.0081671887e+01
3.7145343437e+10,-1.5218792256e+01,-7.0431802825e-01
3.7245465656e+10,7.8883760845e+00,5.4834400522e+00
3.7345587876e+10,-4.5156075161e+00,-3.3102355794e+00
3.7445710095e+10,7.0371616517e+00,-3.1897883609e+00
3.7545832315e+10,-2.0798159411e+00,2.2875916331e+00
3.7645954534e+10,-8.6395164356e+00,-3.9218604306e-01
3.7746076754e+10,8.9662821344e+00,-1.5966062257e+00
3.7846198973e+10,-6.5167259610e+00,7.5364514554e+00
3.7946321193e+10,9.4210128902e+00,-6.0214273827e+00
3.8046443412e+10,-5.1603173048e+00,-2.3176734022e+00
3.8146565632e+10,-3.5204618097e+00,5.1209286921e+00
3.8246687851e+10,6.3718743290e-01,-1.3232782376e+00
3.8346810071e+10,2.2079132558e+00,-3.0792949237e+00
3.8446932290e+10,3.9826877945e+00,5.2433928706e+00
3.8547054510e+10,-1.8971993029e+00,-3.6189906328e-02
3.8647176729e+10,-1.7138574131e+00,-3.5799382617e+00
3.8747298949e+10,-5.9134824079e+00,-1.8753057381e+00
3.8847421168e+10,8.6432102420e+00,1.6669219268e+00
3.8947543388e+10,-6.3547998568e+00,5.5211387134e+00
3.9047665607e+10,3.8036120872e+00,-7.3435215662e+00
3.9147787827e+10,3.4479392123e+00,7.4667865284e+00
3.9247910046e+10,-1.8038680002e+00,-1.2524244277e+01
3.9348032266e+10,-7.4524185708e+00,1.2759302849e+01
3.9448154485e+10,1.3288601298e+01,-4.2063524110e+00
3.9548276705e+10,-1.0598572630e+01,-2.1217750201e+00
3.9648398924e+10,1.8281870346e+00,3.0075923431e+00
3.9748521144e+10,-7.4420773628e+00,2.7497358263e+00
3.9848643363e+10,1.9603722367e+01,-9.8976838828e+00
3.9948765583e+10,-1.0397629225e+01,2.4416538036e+00
4.0048887802e+10,-4.3850288307e+00,8.8399572516e+00
4.0149010022e+10,-3.9580955860e+00,-4.5695947548e+00
4.0249132242e+10,1.7342086331e+01,-7.7724769413e+00
4.0349254461e+10,-1.5529433479e+01,8.0063728295e+00
4.0449376681e+10,1.1685914623e+01,-2.1966677935e+00
4.0549498900e+10,-7.8290843764e+00,4.2198647721e+00
4.0649621120e+10,3.1080250481e+00,-6.3979968292e+00
4.0749743339e+10,-6.7811797811e+00,7.1920711740e+00
4.0849865559e+10,8.9446216043e+00,-1.9944208960e+00
4.0949987778e+10,-4.4175910771e+00,-3.4375133913e+00
4.1050109998e+10,8.4361060047e-01,1.3860306777e+00
4.1150232217e+10,-5.0085989568e+00,-2.9234088490e+00
4.1250354437e+10,1.1795023360e+01,2.5145766257e-01
4.1350476656e+10,-1.2336397563e+01,3.3096556480e+00
4.1450598876e+10,1.2086689798e+01,5.5780647066e+00
4.1550721095e+10,-3.8214456570e+00,-8.8544084677e+00
4.1650843315e+10,-4.3690962400e+00,1.1839801148e+00
4.1750965534e+10,-2.4374466684e+00,6.6914230320e+00
4.1851087754e+10,2.0478088738e+00,-1.0671279647e+01
4.1951209973e+10,3.8818281212e+00,5.9038310851e+00
4.2051332193e+10,1.1200275243e+00,-3.1666851355e+00
4.2151454412e+10,-6.1588532275e+00,4.1750446739e+00
4.2251576632e+10,7.7177301998e+00,6.6368312790e+00
4.2351698851e+10,-2.4743206486e+00,-1.5429103396e+01
4.2451821071e+10,-1.0082304946e+01,7.5528181866e+00
4.2551943290e+10,8.2890917208e+00,-1.8346442105e-01
4.2652065510e+10,4.8053741090e+00,3.1946010799e+00
4.2752187729e+10,-5.6483040353e+00,-6.4103552638e+00
4.2852309949e+10,1.9242572248e+00,3.2695416440e+00
4.2952432168e+10,-3.4670927667e+00,-2.3960804993e+00
4.3052554388e+10,7.4977636720e+00,5.7377035198e+00
4.3152676607e+10,-5.8695973690e+00,-4.2435489265e+00
4.3252798827e+10,5.4685463910e-01,6.7157154201e-01
4.3352921046e+10,-3.7007492975e+00,-2.7835423232e+00
4.3453043266e+10,4.0996260794e+00,5.1129565975e+00
4.3553165485e+10,-5.2833036622e+00,4.5120727937e-01
4.3653287705e+10,1.2796712152e+01,-4.6069701329e+00
4.3753409924e+10,-9.7133816860e+00,8.5823175848e-01
4.3853532144e+10,6.2734165246e+00,2.2134521072e+00
4.3953654363e+10,-1.6463123796e+01,1.3106412476e+00
