Time(us),Amplitude
3.112792968750000325e-04,2.170159999999999854e+04
3.125000000000000065e-04,2.114429999999999927e+04
3.137207031249999805e-04,2.134520000000000073e+04
3.149414062500000087e-04,2.109429999999999927e+04
3.161621093750000369e-04,2.097709999999999854e+04
3.173828125000000108e-04,2.100129999999999927e+04
3.186035156249999848e-04,2.141529999999999927e+04
3.198242187500000130e-04,2.126240000000000146e+04
3.210449218750000412e-04,2.080859999999999854e+04
3.222656250000000152e-04,2.183090000000000146e+04
3.234863281249999892e-04,2.129850000000000000e+04
3.247070312500000173e-04,2.107329999999999927e+04
3.259277343749999913e-04,2.132009999999999854e+04
3.271484375000000195e-04,2.133540000000000146e+04
3.283691406249999935e-04,2.092959999999999854e+04
3.295898437500000217e-04,2.072579999999999927e+04
3.308105468749999957e-04,2.069359999999999854e+04
3.320312500000000239e-04,2.121270000000000073e+04
3.332519531249999978e-04,2.152600000000000000e+04
3.344726562500000260e-04,2.046370000000000073e+04
3.356933593750000000e-04,2.079290000000000146e+04
3.369140625000000282e-04,2.139729999999999927e+04
3.381347656250000022e-04,2.157270000000000073e+04
3.393554687500000304e-04,2.108820000000000073e+04
3.405761718750000043e-04,2.104459999999999854e+04
3.417968749999999783e-04,2.128729999999999927e+04
3.430175781250000065e-04,2.095570000000000073e+04
3.442382812500000347e-04,2.125070000000000073e+04
3.454589843750000087e-04,2.161779999999999927e+04
3.466796874999999827e-04,2.015440000000000146e+04
3.479003906250000108e-04,2.137229999999999927e+04
3.491210937500000390e-04,2.220550000000000000e+04
3.503417968750000130e-04,2.108190000000000146e+04
3.515624999999999870e-04,2.137700000000000000e+04
3.527832031249999610e-04,2.138440000000000146e+04
3.540039062500000434e-04,2.059579999999999927e+04
3.552246093750000173e-04,2.144920000000000073e+04
3.564453124999999913e-04,2.151179999999999927e+04
3.576660156249999653e-04,2.098929999999999927e+04
3.588867187500000477e-04,2.166729999999999927e+04
3.601074218750000217e-04,2.152779999999999927e+04
3.613281249999999957e-04,2.118750000000000000e+04
3.625488281249999696e-04,2.168029999999999927e+04
3.637695312500000520e-04,2.075450000000000000e+04
3.649902343750000260e-04,2.218429999999999927e+04
3.662109375000000000e-04,2.116220000000000073e+04
3.674316406249999740e-04,2.104509999999999854e+04
3.686523437500000022e-04,2.137640000000000146e+04
3.698730468750000304e-04,2.091429999999999927e+04
3.710937500000000043e-04,2.103540000000000146e+04
3.723144531249999783e-04,2.111809999999999854e+04
3.735351562500000065e-04,2.135490000000000146e+04
3.747558593750000347e-04,2.161109999999999854e+04
3.759765625000000087e-04,2.132009999999999854e+04
3.771972656249999827e-04,2.148409999999999854e+04
3.784179687500000108e-04,2.146909999999999854e+04
3.796386718749999848e-04,2.175859999999999854e+04
3.808593750000000130e-04,2.159990000000000146e+04
3.820800781249999870e-04,2.098890000000000146e+04
3.833007812500000152e-04,2.133309999999999854e+04
3.845214843749999892e-04,2.145909999999999854e+04
3.857421875000000173e-04,2.123679999999999927e+04
3.869628906249999913e-04,2.170990000000000146e+04
3.881835937500000195e-04,2.053720000000000073e+04
3.894042968749999935e-04,2.150120000000000073e+04
3.906249999999999675e-04,2.092559999999999854e+04
3.918457031249999957e-04,2.147240000000000146e+04
3.930664062500000239e-04,2.117140000000000146e+04
3.942871093749999978e-04,2.117620000000000073e+04
3.955078124999999718e-04,2.180600000000000000e+04
3.967285156250000542e-04,2.151100000000000000e+04
3.979492187500000282e-04,2.046479999999999927e+04
3.991699218750000022e-04,2.076929999999999927e+04
4.003906249999999761e-04,2.090970000000000073e+04
4.016113281250000585e-04,2.044829999999999927e+04
4.028320312500000325e-04,2.109000000000000000e+04
4.040527343750000065e-04,2.150890000000000146e+04
4.052734374999999805e-04,2.145500000000000000e+04
4.064941406250000087e-04,2.143279999999999927e+04
4.077148437500000369e-04,2.119840000000000146e+04
4.089355468750000108e-04,2.046109999999999854e+04
4.101562499999999848e-04,2.109279999999999927e+04
4.113769531250000130e-04,2.088520000000000073e+04
4.125976562500000412e-04,2.166170000000000073e+04
4.138183593750000152e-04,2.098750000000000000e+04
4.150390624999999892e-04,2.126559999999999854e+04
4.162597656250000173e-04,2.118309999999999854e+04
4.174804687499999913e-04,2.113129999999999927e+04
4.187011718750000195e-04,2.141709999999999854e+04
4.199218749999999935e-04,2.096779999999999927e+04
4.211425781250000217e-04,2.163450000000000000e+04
4.223632812499999957e-04,2.119420000000000073e+04
4.235839843750000239e-04,2.187500000000000000e+04
4.248046874999999978e-04,2.151640000000000146e+04
4.260253906250000260e-04,2.160250000000000000e+04
4.272460937500000000e-04,2.154640000000000146e+04
4.284667968750000282e-04,2.104979999999999927e+04
4.296875000000000022e-04,2.146840000000000146e+04
4.309082031250000304e-04,2.133809999999999854e+04
4.321289062500000043e-04,2.041270000000000073e+04
4.333496093749999783e-04,2.079100000000000000e+04
4.345703125000000065e-04,2.153470000000000073e+04
4.357910156250000347e-04,2.089200000000000000e+04
4.370117187500000087e-04,2.084140000000000146e+04
4.382324218749999827e-04,2.075109999999999854e+04
4.394531250000000108e-04,2.153100000000000000e+04
4.406738281250000390e-04,2.135009999999999854e+04
4.418945312500000130e-04,2.107770000000000073e+04
4.431152343749999870e-04,2.080050000000000000e+04
4.443359374999999610e-04,2.168129999999999927e+04
4.455566406250000434e-04,2.101779999999999927e+04
4.467773437500000173e-04,2.143570000000000073e+04
4.479980468749999913e-04,2.151140000000000146e+04
